,indie_game,action_game,platform_game,adventure_game,sci-fi,role-playing_video_game,puzzle_video_game,dates,lang
270,4545.0,15398.0,17358.0,32407.0,7467.0,8599.0,5490.0,2019-09-28,it
271,4755.0,27375.0,18235.0,35036.0,7911.0,10686.0,5759.0,2019-09-29,it
272,4368.0,19255.0,15887.0,32166.0,7677.0,8834.0,5306.0,2019-09-30,it
273,4152.0,18570.0,15437.0,33507.0,7539.0,7855.0,5286.0,2019-10-01,it
274,4182.0,17313.0,16061.0,33576.0,8093.0,8622.0,5790.0,2019-10-02,it
275,4205.0,18186.0,17376.0,34768.0,7916.0,8495.0,5689.0,2019-10-03,it
276,4372.0,19410.0,19165.0,35672.0,7629.0,8360.0,5489.0,2019-10-04,it
277,4589.0,21648.0,22070.0,39904.0,8055.0,8564.0,5627.0,2019-10-05,it
278,4796.0,24506.0,24725.0,46488.0,8228.0,9127.0,5906.0,2019-10-06,it
279,4410.0,29004.0,20813.0,39726.0,7981.0,7965.0,5352.0,2019-10-07,it
280,4504.0,22589.0,21006.0,38695.0,8151.0,7897.0,5834.0,2019-10-08,it
281,4742.0,23517.0,21701.0,40561.0,8046.0,7940.0,5977.0,2019-10-09,it
282,4805.0,24021.0,20848.0,38631.0,7981.0,8072.0,5805.0,2019-10-10,it
283,4724.0,23296.0,23684.0,39101.0,7992.0,7821.0,6014.0,2019-10-11,it
284,5007.0,25650.0,23939.0,43318.0,7957.0,8154.0,6001.0,2019-10-12,it
285,5084.0,29416.0,27779.0,50532.0,8756.0,9185.0,6615.0,2019-10-13,it
286,4947.0,25327.0,23167.0,41470.0,8589.0,8168.0,5502.0,2019-10-14,it
287,4530.0,23142.0,21164.0,38529.0,8329.0,7996.0,5637.0,2019-10-15,it
288,4684.0,23681.0,19940.0,36462.0,7815.0,7672.0,5548.0,2019-10-16,it
289,4552.0,22285.0,19915.0,36181.0,7535.0,7466.0,5477.0,2019-10-17,it
290,4404.0,23375.0,19495.0,34474.0,7164.0,7079.0,5545.0,2019-10-18,it
291,5021.0,23634.0,21547.0,38227.0,7148.0,8920.0,5317.0,2019-10-19,it
292,5119.0,53826.0,24477.0,45392.0,8453.0,9030.0,5436.0,2019-10-20,it
293,5120.0,33952.0,21181.0,39813.0,8533.0,8562.0,6082.0,2019-10-21,it
294,5242.0,28130.0,21630.0,47376.0,8469.0,8585.0,6246.0,2019-10-22,it
295,4552.0,25850.0,18423.0,36991.0,8193.0,7738.0,5751.0,2019-10-23,it
